city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
cairo--egypt,2026-07-31,3296,3296,0.835,0.856,0.87,0.884,0.897,7.1602,0.6675,5,0,0,0.795,0.87,0.87,3296,1,0.0303,0.714,0.87,1,4,0.714,0.87,0,0,,0.87,0,5,,0.87,0.0
camden--arkansas--united-states,2026-07-24,1,1,0.039,0.039,0.039,0.039,0.039,0.0,100.0,1,0,0,0.039,0.039,0.039,1,0,0.0,,0.039,0,1,,0.039,0,0,,0.039,0,1,,0.039,0.0
camp-verde--arizona--united-states,2026-07-24,42296,42296,0.84,0.856,0.872,0.886,0.899,9.2113,0.0,119,0,0,0.864,0.871,0.88,42296,0,0.0,,0.872,0,119,,0.871,0,0,,0.872,0,119,,0.871,0.0
campbell-county--kentucky--united-states,2026-07-31,236438,236438,0.811,0.843,0.871,0.891,0.904,14.7717,0.0,1015,0,0,0.849,0.872,0.888,236438,0,0.0,,0.871,0,1015,,0.872,20809,1,0.891,0.869,121,894,0.892,0.87,8.801
cape-may--new-jersey--united-states,2026-07-24,891,891,0.792,0.81,0.83,0.85,0.867,0.0,0.0,3,0,0,0.822,0.83,0.8405,891,0,0.0,,0.83,0,3,,0.83,0,0,,0.83,0,3,,0.83,0.0
cape-town--western-cape--south-africa,2026-07-24,40,40,0.7929,0.826,0.864,0.8818,0.8992,10.0,2.5,1,0,0,0.864,0.864,0.864,40,0,0.0,,0.864,0,1,,0.864,0,0,,0.864,0,1,,0.864,0.0
capitol-heights--maryland--united-states,2026-07-24,7430,7430,0.6169,0.765,0.813,0.848,0.869,0.323,9.5962,58,0,0,0.7762,0.8167,0.8458,7430,0,0.0,,0.813,0,58,,0.8167,5349,2,0.791,0.853,46,12,0.796,0.8585,71.9919
cardenas--matanzas-province--cuba,2026-07-27,2,2,0.5375,0.5548,0.5835,0.6122,0.6295,0.0,50.0,2,0,0,0.5548,0.5835,0.6122,2,2,100.0,0.5835,,2,0,0.5835,,0,0,,0.5835,0,2,,0.5835,0.0
carefree--arizona--united-states,2026-07-24,18393,18393,0.772,0.799,0.828,0.853,0.87,0.2664,0.7938,26,0,0,0.7923,0.826,0.839,18393,317,1.7235,0.603,0.829,5,21,0.6125,0.831,0,0,,0.828,0,26,,0.826,0.0
carson-city--nevada--united-states,2026-07-25,8656,8656,0.799,0.819,0.852,0.896,0.908,19.9053,0.1271,11,0,0,0.824,0.837,0.867,8656,0,0.0,,0.852,0,11,,0.837,0,0,,0.852,0,11,,0.837,0.0
casa-grande--arizona--united-states,2026-07-25,8090,8090,0.763,0.78,0.794,0.812,0.8831,4.1904,0.0742,7,0,0,0.791,0.813,0.8905,8090,0,0.0,,0.794,0,7,,0.813,27,1,0.813,0.794,1,6,0.813,0.84,0.3337
casper--wyoming--united-states,2026-07-25,14035,14035,0.7904,0.814,0.832,0.851,0.87,1.311,0.0356,18,0,0,0.8143,0.8295,0.844,14035,602,4.2893,0.776,0.832,4,14,0.7355,0.834,5551,1,0.821,0.841,4,14,0.824,0.834,39.5511
catawba--north-carolina--united-states,2026-07-25,32,32,0.7703,0.7798,0.796,0.8103,0.816,0.0,0.0,1,0,0,0.796,0.796,0.796,32,0,0.0,,0.796,0,1,,0.796,0,0,,0.796,0,1,,0.796,0.0
cedar-city--utah--united-states,2026-07-25,261,261,0.866,0.874,0.883,0.889,0.894,1.1494,0.0,1,0,0,0.883,0.883,0.883,261,0,0.0,,0.883,0,1,,0.883,0,0,,0.883,0,1,,0.883,0.0
cedar-rapids--iowa--united-states,2026-07-25,889,889,0.7918,0.812,0.85,0.868,0.876,0.0,0.0,4,0,0,0.7946,0.8117,0.8277,889,0,0.0,,0.85,0,4,,0.8117,0,0,,0.85,0,4,,0.8117,0.0
centerfield--utah--united-states,2026-07-25,228,228,0.6817,0.7037,0.7285,0.746,0.7643,0.0,0.0,1,0,0,0.7285,0.7285,0.7285,228,0,0.0,,0.7285,0,1,,0.7285,0,0,,0.7285,0,1,,0.7285,0.0
chandler--arizona--united-states,2026-07-25,28966,28966,0.82,0.853,0.878,0.899,0.913,23.9557,0.977,41,0,0,0.868,0.879,0.899,28966,0,0.0,,0.878,0,41,,0.879,0,0,,0.878,0,41,,0.879,0.0
